time	V(n002)	I(C1)
7.408104827627540e-01	2.616367e+00	2.383633e-04
7.456932952627540e-01	2.627977e+00	2.372023e-04
7.505761077627540e-01	2.639531e+00	2.360469e-04
7.554589202627540e-01	2.651029e+00	2.348971e-04
7.603417327627540e-01	2.662470e+00	2.337530e-04
7.652245452627540e-01	2.673856e+00	2.326144e-04
7.701073577627540e-01	2.685187e+00	2.314813e-04
7.749901702627540e-01	2.696462e+00	2.303538e-04
7.798729827627540e-01	2.707682e+00	2.292318e-04
7.847557952627540e-01	2.718848e+00	2.281152e-04
7.896386077627540e-01	2.729959e+00	2.270041e-04
7.945214202627540e-01	2.741017e+00	2.258983e-04
7.994042327627540e-01	2.752020e+00	2.247980e-04
8.042870452627540e-01	2.762969e+00	2.237030e-04
8.091698577627540e-01	2.773866e+00	2.226134e-04
8.140526702627540e-01	2.784709e+00	2.215291e-04
8.189354827627540e-01	2.795500e+00	2.204500e-04
8.238182952627540e-01	2.806238e+00	2.193762e-04
8.287011077627540e-01	2.816923e+00	2.183077e-04
8.335839202627540e-01	2.827557e+00	2.172443e-04
8.384667327627540e-01	2.838139e+00	2.161861e-04
8.433495452627540e-01	2.848669e+00	2.151331e-04
8.482323577627540e-01	2.859148e+00	2.140852e-04
8.531151702627540e-01	2.869576e+00	2.130424e-04
8.579979827627540e-01	2.879953e+00	2.120047e-04
8.628807952627540e-01	2.890280e+00	2.109720e-04
8.677636077627540e-01	2.900556e+00	2.099444e-04
8.726464202627540e-01	2.910782e+00	2.089218e-04
8.775292327627540e-01	2.920959e+00	2.079041e-04
8.824120452627540e-01	2.931085e+00	2.068915e-04
8.872948577627540e-01	2.941163e+00	2.058837e-04
8.921776702627540e-01	2.951191e+00	2.048809e-04
8.970604827627540e-01	2.961171e+00	2.038829e-04
9.019432952627540e-01	2.971102e+00	2.028898e-04
9.068261077627540e-01	2.980984e+00	2.019016e-04
9.117089202627540e-01	2.990819e+00	2.009181e-04
9.165917327627540e-01	3.000606e+00	1.999394e-04
9.214745452627540e-01	3.010345e+00	1.989656e-04
9.263573577627540e-01	3.020036e+00	1.979964e-04
9.312401702627540e-01	3.029680e+00	1.970320e-04
9.361229827627540e-01	3.039277e+00	1.960723e-04
9.410057952627540e-01	3.048828e+00	1.951172e-04
9.458886077627540e-01	3.058332e+00	1.941668e-04
9.507714202627540e-01	3.067790e+00	1.932210e-04
9.556542327627540e-01	3.077201e+00	1.922799e-04
9.605370452627540e-01	3.086567e+00	1.913433e-04
9.654198577627540e-01	3.095887e+00	1.904113e-04
9.703026702627540e-01	3.105162e+00	1.894838e-04
9.751854827627540e-01	3.114392e+00	1.885608e-04
9.800682952627540e-01	3.123576e+00	1.876424e-04
9.849511077627540e-01	3.132716e+00	1.867284e-04
9.898339202627540e-01	3.141812e+00	1.858188e-04
9.947167327627540e-01	3.150863e+00	1.849137e-04
9.995995452627540e-01	3.159870e+00	1.840130e-04
1.004482357762754e+00	3.168833e+00	1.831167e-04
1.009365170262754e+00	3.177752e+00	1.822248e-04
1.014247982762754e+00	3.186628e+00	1.813372e-04
1.019130795262754e+00	3.195461e+00	1.804539e-04
1.024013607762754e+00	3.204251e+00	1.795749e-04
1.028896420262754e+00	3.212998e+00	1.787002e-04
1.033779232762754e+00	3.221702e+00	1.778298e-04
1.038662045262754e+00	3.230364e+00	1.769636e-04
1.043544857762754e+00	3.238984e+00	1.761016e-04
1.048427670262754e+00	3.247562e+00	1.752438e-04
1.053310482762754e+00	3.256098e+00	1.743902e-04
1.058193295262754e+00	3.264592e+00	1.735408e-04
1.063076107762754e+00	3.273045e+00	1.726955e-04
1.067958920262754e+00	3.281457e+00	1.718543e-04
1.072841732762754e+00	3.289828e+00	1.710172e-04
1.077724545262754e+00	3.298158e+00	1.701842e-04
1.082607357762754e+00	3.306448e+00	1.693552e-04
1.087490170262754e+00	3.314697e+00	1.685303e-04
1.092372982762754e+00	3.322906e+00	1.677094e-04
1.097255795262754e+00	3.331075e+00	1.668925e-04
1.102138607762754e+00	3.339204e+00	1.660796e-04
1.107021420262754e+00	3.347293e+00	1.652707e-04
1.111904232762754e+00	3.355344e+00	1.644656e-04
1.116787045262754e+00	3.363355e+00	1.636645e-04
1.121669857762754e+00	3.371327e+00	1.628673e-04
1.126552670262754e+00	3.379260e+00	1.620740e-04
1.131435482762754e+00	3.387154e+00	1.612846e-04
1.136318295262754e+00	3.395010e+00	1.604990e-04
1.141201107762754e+00	3.402828e+00	1.597172e-04
1.146083920262754e+00	3.410608e+00	1.589392e-04
1.150966732762754e+00	3.418350e+00	1.581650e-04
1.155849545262754e+00	3.426054e+00	1.573946e-04
1.160732357762754e+00	3.433720e+00	1.566280e-04
1.165615170262754e+00	3.441350e+00	1.558651e-04
1.170497982762754e+00	3.448941e+00	1.551059e-04
1.175380795262754e+00	3.456496e+00	1.543503e-04
1.180263607762754e+00	3.464015e+00	1.535985e-04
1.185146420262754e+00	3.471497e+00	1.528503e-04
1.190029232762754e+00	3.478942e+00	1.521058e-04
1.194912045262754e+00	3.486351e+00	1.513649e-04
1.199794857762754e+00	3.493724e+00	1.506276e-04
1.204677670262754e+00	3.501060e+00	1.498940e-04
1.209560482762754e+00	3.508362e+00	1.491638e-04
1.214443295262754e+00	3.515627e+00	1.484373e-04
1.219326107762754e+00	3.522858e+00	1.477142e-04
1.224208920262754e+00	3.530053e+00	1.469947e-04
1.229091732762754e+00	3.537213e+00	1.462787e-04
1.233974545262754e+00	3.544338e+00	1.455662e-04
1.238857357762754e+00	3.551428e+00	1.448572e-04
1.243740170262754e+00	3.558484e+00	1.441516e-04
1.248622982762754e+00	3.565506e+00	1.434494e-04
1.253505795262754e+00	3.572493e+00	1.427507e-04
1.258388607762754e+00	3.579446e+00	1.420554e-04
1.263271420262754e+00	3.586365e+00	1.413634e-04
1.268154232762754e+00	3.593251e+00	1.406749e-04
1.273037045262754e+00	3.600103e+00	1.399897e-04
1.277919857762754e+00	3.606922e+00	1.393078e-04
1.282802670262754e+00	3.613708e+00	1.386292e-04
1.287685482762754e+00	3.620460e+00	1.379540e-04
1.292568295262754e+00	3.627180e+00	1.372820e-04
1.297451107762754e+00	3.633867e+00	1.366133e-04
1.302333920262754e+00	3.640521e+00	1.359479e-04
1.307216732762754e+00	3.647143e+00	1.352857e-04
1.312099545262754e+00	3.653733e+00	1.346267e-04
1.316982357762754e+00	3.660290e+00	1.339710e-04
1.321865170262754e+00	3.666816e+00	1.333184e-04
1.326747982762754e+00	3.673310e+00	1.326690e-04
1.331630795262754e+00	3.679772e+00	1.320228e-04
1.336513607762754e+00	3.686203e+00	1.313797e-04
1.341396420262754e+00	3.692602e+00	1.307398e-04
1.346279232762754e+00	3.698970e+00	1.301030e-04
